time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/reward,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/std,train/clip_range,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/approx_kl
1,3776,2048,0,2.286568,,,,,,,,,,,
2,3014,4096,1,0.27604926,10,-0.0016187429428100586,-0.0010050479351775721,1.0046956539154053,0.2,-1.4213469579815865,276.9496154785156,398.97073860168456,0.00029296875,0.0001,0.0015056948
3,3049,6144,2,-26.239622,20,-0.000594019889831543,-0.000259699416346848,1.0053834915161133,0.2,-1.4241583466529846,2744.177978515625,5530.408502197266,0.0,0.0001,0.0002092541
4,2827,8192,2,14.120562,30,0.00013589859008789062,-3.335728251840919e-05,1.0054150819778442,0.2,-1.4243172854185104,14507.15234375,30258.01301269531,0.0,0.0001,1.2500386e-06
5,2838,10240,3,-0.0030422765,40,0.00043517351150512695,-0.0002543352558859624,1.004062294960022,0.2,-1.4237415984272956,2723.24609375,5665.1647674560545,0.0,0.0001,0.0006670207
6,2890,12288,4,-9.211354,50,0.0005446672439575195,-0.00021708554704673587,1.0042731761932373,0.2,-1.4229790434241294,2170.976806640625,5284.5485565185545,0.0,0.0001,0.00022972925
7,2886,14336,4,0.0145366555,60,-0.0021114349365234375,-0.00038540358073078094,1.0038503408432007,0.2,-1.4230426713824271,3091.6376953125,6368.033615112305,0.0,0.0001,0.0004359019
8,2929,16384,5,151.42079,70,0.0003801584243774414,3.8451689761132e-06,1.003988265991211,0.2,-1.4228162840008736,28303.123046875,80135.23505859375,0.0,0.0001,8.85746e-07
9,2917,18432,6,-1.4119521,80,-0.0019165277481079102,-0.00012022512964904308,1.0043106079101562,0.2,-1.4231051430106163,16112.224609375,34987.711596679685,0.0,0.0001,6.2028674e-05
10,2919,20480,7,-0.12460178,90,-0.0018901824951171875,-6.652867596130818e-05,1.0048484802246094,0.2,-1.423431295156479,10633.01171875,13939.937841796875,0.0,0.0001,2.6079913e-05
11,2948,22528,7,13.274016,100,0.0002497434616088867,-1.1869770241901279e-05,1.0046250820159912,0.2,-1.4237390741705895,72028.0859375,148330.0203125,0.0,0.0001,1.5714904e-06
12,2942,24576,8,0.59853494,110,0.000756382942199707,-0.00011458723747637123,1.0045667886734009,0.2,-1.423444651067257,5424.896484375,9598.337573242188,0.0,0.0001,8.7407156e-05
13,2965,26624,8,-14.209108,120,0.0007184147834777832,-6.333081400953234e-05,1.0051329135894775,0.2,-1.4236945688724518,65268.73828125,104719.50190429688,0.0,0.0001,4.7582143e-06
14,2955,28672,9,-1.8924228,130,0.0008994936943054199,-4.085401815245859e-05,1.0052034854888916,0.2,-1.4240883871912957,44490.734375,80842.3673828125,0.0,0.0001,5.3169206e-06
15,2943,30720,10,0.2337644,140,-0.0012969970703125,-3.615301102399826e-06,1.0057408809661865,0.2,-1.4244817093014717,5912.1806640625,14484.046948242187,0.0,0.0001,0.0001242308
16,2953,32768,11,4.755608,150,4.649162292480469e-06,-0.00015023249434307218,1.0056310892105103,0.2,-1.42462849766016,46241.1015625,86290.8546875,0.0,0.0001,4.598446e-05
17,2945,34816,11,-0.34191254,160,-0.0012968778610229492,-0.0002241409762063995,1.0070273876190186,0.2,-1.424961695075035,5075.44384765625,8998.990264892578,0.0,0.0001,0.00018600462
18,2961,36864,12,10.433334,170,0.0011646151542663574,-4.337146237958223e-05,1.008020043373108,0.2,-1.4265895515680314,52698.609375,101974.8326171875,0.0,0.0001,1.9020226e-05
19,2959,38912,13,-2.1334682,180,-0.005113840103149414,-0.0005773747659986838,1.0084401369094849,0.2,-1.4271674558520318,33554.234375,49389.65595703125,0.0,0.0001,0.00016084986
20,2951,40960,13,-0.03755579,190,-0.00044465065002441406,-0.0006137811753433198,1.010202169418335,0.2,-1.428121368587017,7067.49267578125,11423.365942382812,0.0,0.0001,0.0007630654
21,2961,43008,14,289.40778,200,3.141164779663086e-05,-0.00023097116791177542,1.010941743850708,0.2,-1.4295522794127464,44612.1484375,106554.28354492187,0.0,0.0001,8.350139e-05
22,2958,45056,15,-0.83225256,210,-0.0005297660827636719,-8.723147911950945e-05,1.010703444480896,0.2,-1.429693129658699,16867.654296875,30019.353662109374,0.0,0.0001,8.095783e-06
23,2969,47104,15,30.369865,220,0.0005120635032653809,-0.00028090669366065413,1.0100853443145752,0.2,-1.429337887465954,136573.625,215994.97060546876,0.0,0.0001,7.4071315e-05
24,2963,49152,16,-6.583479,230,-0.00016748905181884766,-8.47433606395498e-05,1.0100337266921997,0.2,-1.4289121851325035,68234.0390625,154130.16455078125,0.0,0.0001,1.2892298e-05
25,2958,51200,17,-0.041183595,240,-0.0022689104080200195,-0.00046375613164855166,1.0103751420974731,0.2,-1.4290117532014848,12146.2041015625,22200.784448242186,0.0,0.0001,0.00027724277
26,2965,53248,17,-357.77283,250,-0.0007253885269165039,-0.0003781772975344211,1.0107502937316895,0.2,-1.4294409587979318,68112.515625,121184.691796875,0.0,0.0001,0.00023680684
27,2957,55296,18,-2.5972145,260,-0.0010662078857421875,-9.942610777216032e-05,1.011070728302002,0.2,-1.4297546058893205,21692.310546875,54582.2400390625,0.0,0.0001,2.8747425e-05
28,2967,57344,19,68.89955,270,0.0004862546920776367,-0.00025066970847547053,1.0097789764404297,0.2,-1.4293808951973914,65033.390625,126354.72509765625,0.0,0.0001,0.0001878436
29,2964,59392,20,7.0842357,280,-0.00015616416931152344,-0.000702500955958385,1.0097843408584595,0.2,-1.4285780102014543,27398.287109375,65894.91811523438,0.0,0.0001,0.00092008285
30,2961,61440,20,0.14179239,290,-0.0003324747085571289,-0.00017783983203116803,1.0117136240005493,0.2,-1.4294428676366806,6605.5224609375,13011.508868408204,0.0,0.0001,9.72338e-05
31,2966,63488,21,79.49316,300,2.3126602172851562e-05,-0.0008167566760675981,1.013231873512268,0.2,-1.4312990874052047,58311.9921875,103928.83823242187,0.0,0.0001,0.001164435
32,2960,65536,22,-3.9367676,310,0.0006213188171386719,-2.058151294477284e-05,1.0142195224761963,0.2,-1.4326072126626967,9666.884765625,24667.66473388672,0.0,0.0001,1.1369353e-05
33,2967,67584,22,19.520857,320,0.0001646280288696289,-0.00017531895864522084,1.0146653652191162,0.2,-1.4332493975758553,21744.677734375,39244.50053710937,0.0,0.0001,6.883318e-05
34,2965,69632,23,1.6985723,330,0.0007817745208740234,-0.0014246379112591967,1.0180672407150269,0.2,-1.4347767606377602,8211.0205078125,15831.490454101562,0.001220703125,0.0001,0.0024007834
