account_rewards,date
4.624868164071813,2024-01-01
-1170.019048828166,2024-01-02
690.4704287109198,2024-01-03
-15.330058593768626,2024-01-04
-549.5238076171372,2024-01-05
-459.1774365234887,2024-01-06
3075.777481445344,2024-01-07
368.08974414062686,2024-01-08
8532.569910156308,2024-01-09
1490.2965859374963,2024-01-10
-4197.471640625037,2024-01-11
2492.5115341796773,2024-01-12
-5436.854243164067,2024-01-13
2180.9743164062966,2024-01-14
4569.598099609371,2024-01-15
-3806.9445146484068,2024-01-16
-4181.953321289038,2024-01-17
1608.6729404296493,2024-01-18
-1523.0742050780682,2024-01-19
-1263.960387695348,2024-01-20
-12029.095925781294,2024-01-21
-6181.596821289044,2024-01-22
-664.3953613281483,2024-01-23
-1530.6842470703414,2024-01-24
4940.079354492133,2024-01-25
62.304248046828434,2024-01-26
-1162.2141220703488,2024-01-27
6694.783665039111,2024-01-28
3172.5471728515113,2024-01-29
-7443.284224609379,2024-01-30
2629.6237285155803,2024-01-31
530.0972011719132,2024-02-01
-1593.1999257812276,2024-02-02
-892.1216533202678,2024-02-03
1298.8300966797397,2024-02-04
10547.874756835983,2024-02-05
7618.906700195279,2024-02-06
-593.1656835937174,2024-02-07
10537.344788085902,2024-02-08
2184.0733750000363,2024-02-09
1030.1298525390448,2024-02-10
25281.598624023492,2024-02-11
-2750.706682617194,2024-02-12
23875.63047753903,2024-02-13
8354.669640625129,2024-02-14
-3817.797515625134,2024-02-15
-3210.7489453125745,2024-02-16
17715.337684570346,2024-02-17
12645.50939843757,2024-02-18
13974.016716796905,2024-02-19
-8814.28545996081,2024-02-20
123.70451562479138,2024-02-21
-10473.897701171692,2024-02-22
15265.514539062511,2024-02-23
26456.51190136699,2024-02-24
14837.939835937694,2024-02-25
14927.128751953132,2024-02-26
32741.842235351447,2024-02-27
-10346.609221679624,2024-02-28
22338.858883789042,2024-02-29
-3186.7529111327603,2024-03-01
17084.38601953117,2024-03-02
35124.96278320323,2024-03-03
-19334.646735351533,2024-03-04
68693.82701660134,2024-03-05
14536.75629785168,2024-03-06
4731.688156249933,2024-03-07
6337.783318359405,2024-03-08
-9461.990777343744,2024-03-09
51855.022102539195,2024-03-10
-24489.078280273592,2024-03-11
