account_value,date,daily_return
1000000.0,2024-01-01,
999999.9732544953,2024-01-02,-2.6745504699832168e-08
999999.5422974611,2024-01-03,-4.3095704571616267e-07
999999.6240753109,2024-01-04,8.177788735075353e-08
999999.3863336036,2024-01-05,-2.3774179658264671e-07
999999.1841019491,2024-01-06,-2.022317786565253e-07
999998.6781288339,2024-01-07,-5.059735280754651e-07
999999.5917399842,2024-01-08,9.136123579889244e-07
999999.1372498176,2024-01-09,-4.544903521308541e-07
1000000.6354371439,2024-01-10,1.4981886187204196e-06
1000000.7377377446,2024-01-11,1.0230053582027665e-07
999998.9859484495,2024-01-12,-1.7517880027684285e-06
999999.2698358268,2024-01-13,2.83887665153415e-07
999999.3420366592,2024-01-14,7.220088504844568e-08
999999.3172424425,2024-01-15,-2.479423300005834e-08
999999.3163879104,2024-01-16,-8.5453266684965e-10
999998.6755906568,2024-01-17,-6.407976916866787e-07
999997.3071395366,2024-01-18,-1.3684529326374317e-06
999996.6157872101,2024-01-19,-6.913541882314078e-07
999997.4557164629,2024-01-20,8.399320954310951e-07
999996.7514518477,2024-01-21,-7.042664070811e-07
999994.7122469457,2024-01-22,-2.039211526527751e-06
999993.7219208904,2024-01-23,-9.903312919723462e-07
999993.7482035033,2024-01-24,2.6282777954023118e-08
999993.2197718503,2024-01-25,-5.284349566814228e-07
999995.5400787835,2024-01-26,2.3203226655610365e-06
999995.286649773,2024-01-27,-2.534301407619566e-07
999994.4515829517,2024-01-28,-8.350707573212546e-07
999995.9884085973,2024-01-29,1.5368341725885415e-06
999992.4488918738,2024-01-30,-3.539530922580525e-06
999991.3205884381,2024-01-31,-1.1283119557559118e-06
999991.7313019384,2024-02-01,4.107170650247127e-07
999992.4572463067,2024-02-02,7.259503709278192e-07
999993.8616559262,2024-02-03,1.404420212791635e-06
999991.1983832021,2024-02-04,-2.663289072279973e-06
999991.713172494,2024-02-05,5.147938229033144e-07
999991.5142606588,2024-02-06,-1.989134835733708e-07
999993.1093944816,2024-02-07,1.5951473588682319e-06
999993.247423953,2024-02-08,1.3803042242521713e-07
999995.4877466728,2024-02-09,2.2403378479030067e-06
999995.1013102891,2024-02-10,-3.864381273865902e-07
999995.5029537621,2024-02-11,4.0164544046206174e-07
999996.7210538852,2024-02-12,1.2181056010529545e-06
999995.2000605478,2024-02-13,-1.5209983246222691e-06
999998.1819601461,2024-02-14,2.9819139113484994e-06
1000003.6589138701,2024-02-15,5.476963681472213e-06
1000004.1632533678,2024-02-16,5.043376523072851e-07
1000000.6180351218,2024-02-17,-3.545203486332582e-06
1000002.2993696305,2024-02-18,1.6813334695608972e-06
1000003.6916082826,2024-02-19,1.392235450925483e-06
1000003.7700513297,2024-02-20,7.844275762280972e-08
1000000.2181511623,2024-02-21,-3.5518867766981543e-06
999998.1120011434,2024-02-22,-2.1061495594221213e-06
999996.4185908568,2024-02-23,-1.693413483772055e-06
999999.2735973155,2024-02-24,2.85501668373378e-06
999998.5302974253,2024-02-25,-7.433004300949619e-07
1000001.0419953194,2024-02-26,2.5117015856057634e-06
1000010.972338041,2024-02-27,9.930332374175066e-06
1000007.9397866997,2024-02-28,-3.0325180675472296e-06
