,date,actions
0,2024-01-01,[5]
1,2024-01-02,[5]
2,2024-01-03,[5]
3,2024-01-04,[5]
4,2024-01-05,[5]
5,2024-01-06,[5]
6,2024-01-07,[5]
7,2024-01-08,[5]
8,2024-01-09,[5]
9,2024-01-10,[5]
10,2024-01-11,[5]
11,2024-01-12,[5]
12,2024-01-13,[5]
13,2024-01-14,[5]
14,2024-01-15,[5]
15,2024-01-16,[5]
16,2024-01-17,[5]
17,2024-01-18,[5]
18,2024-01-19,[5]
19,2024-01-20,[5]
20,2024-01-21,[5]
21,2024-01-22,[5]
22,2024-01-23,[5]
23,2024-01-24,[5]
24,2024-01-25,[5]
25,2024-01-26,[5]
26,2024-01-27,[5]
27,2024-01-28,[5]
28,2024-01-29,[5]
29,2024-01-30,[5]
30,2024-01-31,[5]
31,2024-02-01,[5]
32,2024-02-02,[5]
33,2024-02-03,[5]
34,2024-02-04,[5]
35,2024-02-05,[5]
36,2024-02-06,[5]
37,2024-02-07,[5]
38,2024-02-08,[5]
39,2024-02-09,[5]
40,2024-02-10,[5]
41,2024-02-11,[5]
42,2024-02-12,[5]
43,2024-02-13,[5]
44,2024-02-14,[5]
45,2024-02-15,[5]
46,2024-02-16,[5]
47,2024-02-17,[5]
48,2024-02-18,[5]
49,2024-02-19,[5]
50,2024-02-20,[5]
51,2024-02-21,[5]
52,2024-02-22,[5]
53,2024-02-23,[5]
54,2024-02-24,[5]
55,2024-02-25,[5]
56,2024-02-26,[5]
57,2024-02-27,[5]
58,2024-02-28,[5]
59,2024-02-29,[5]
60,2024-03-01,[5]
61,2024-03-02,[5]
62,2024-03-03,[5]
63,2024-03-04,[5]
64,2024-03-05,[5]
65,2024-03-06,[5]
66,2024-03-07,[5]
67,2024-03-08,[5]
68,2024-03-09,[5]
69,2024-03-10,[5]
70,2024-03-11,[5]
71,2024-03-12,[5]
72,2024-03-13,[5]
73,2024-03-14,[5]
74,2024-03-15,[5]
75,2024-03-16,[5]
76,2024-03-17,[5]
77,2024-03-18,[5]
78,2024-03-19,[5]
79,2024-03-20,[5]
80,2024-03-21,[5]
81,2024-03-22,[5]
82,2024-03-23,[5]
83,2024-03-24,[5]
84,2024-03-25,[5]
85,2024-03-26,[5]
86,2024-03-27,[5]
87,2024-03-28,[5]
88,2024-03-29,[5]
89,2024-03-30,[5]
90,2024-03-31,[5]
91,2024-04-01,[5]
92,2024-04-02,[5]
93,2024-04-03,[5]
94,2024-04-04,[5]
95,2024-04-05,[5]
96,2024-04-06,[5]
97,2024-04-07,[5]
98,2024-04-08,[5]
99,2024-04-09,[5]
100,2024-04-10,[5]
101,2024-04-11,[5]
102,2024-04-12,[5]
103,2024-04-13,[5]
104,2024-04-14,[5]
105,2024-04-15,[5]
106,2024-04-16,[5]
107,2024-04-17,[5]
108,2024-04-18,[5]
109,2024-04-19,[5]
110,2024-04-20,[5]
111,2024-04-21,[5]
112,2024-04-22,[5]
113,2024-04-23,[5]
114,2024-04-24,[5]
115,2024-04-25,[5]
116,2024-04-26,[5]
117,2024-04-27,[5]
118,2024-04-28,[5]
119,2024-04-29,[5]
120,2024-04-30,[5]
121,2024-05-01,[5]
122,2024-05-02,[5]
123,2024-05-03,[5]
124,2024-05-04,[5]
125,2024-05-05,[5]
126,2024-05-06,[5]
127,2024-05-07,[5]
128,2024-05-08,[5]
129,2024-05-09,[5]
130,2024-05-10,[5]
131,2024-05-11,[5]
132,2024-05-12,[5]
133,2024-05-13,[5]
134,2024-05-14,[5]
135,2024-05-15,[5]
136,2024-05-16,[5]
137,2024-05-17,[5]
138,2024-05-18,[5]
139,2024-05-19,[5]
140,2024-05-20,[5]
141,2024-05-21,[5]
142,2024-05-22,[5]
143,2024-05-23,[5]
144,2024-05-24,[5]
145,2024-05-25,[5]
146,2024-05-26,[5]
147,2024-05-27,[5]
148,2024-05-28,[5]
149,2024-05-29,[5]
150,2024-05-30,[5]
151,2024-05-31,[5]
152,2024-06-01,[5]
153,2024-06-02,[5]
154,2024-06-03,[5]
155,2024-06-04,[5]
156,2024-06-05,[5]
157,2024-06-06,[5]
158,2024-06-07,[5]
159,2024-06-08,[5]
160,2024-06-09,[5]
161,2024-06-10,[5]
162,2024-06-11,[5]
163,2024-06-12,[5]
164,2024-06-13,[5]
165,2024-06-14,[5]
166,2024-06-15,[5]
167,2024-06-16,[5]
168,2024-06-17,[5]
169,2024-06-18,[5]
170,2024-06-19,[5]
171,2024-06-20,[5]
172,2024-06-21,[5]
173,2024-06-22,[5]
174,2024-06-23,[5]
175,2024-06-24,[5]
176,2024-06-25,[5]
177,2024-06-26,[5]
178,2024-06-27,[5]
179,2024-06-28,[5]
180,2024-06-29,[5]
181,2024-06-30,[5]
182,2024-07-01,[5]
183,2024-07-02,[5]
184,2024-07-03,[5]
185,2024-07-04,[5]
186,2024-07-05,[5]
187,2024-07-06,[5]
188,2024-07-07,[5]
189,2024-07-08,[5]
190,2024-07-09,[5]
191,2024-07-10,[5]
192,2024-07-11,[5]
193,2024-07-12,[5]
194,2024-07-13,[5]
195,2024-07-14,[5]
196,2024-07-15,[5]
197,2024-07-16,[5]
198,2024-07-17,[5]
199,2024-07-18,[5]
200,2024-07-19,[5]
201,2024-07-20,[5]
202,2024-07-21,[5]
203,2024-07-22,[5]
204,2024-07-23,[5]
205,2024-07-24,[5]
206,2024-07-25,[5]
207,2024-07-26,[5]
208,2024-07-27,[5]
209,2024-07-28,[5]
210,2024-07-29,[5]
211,2024-07-30,[5]
212,2024-07-31,[5]
213,2024-08-01,[5]
214,2024-08-02,[5]
215,2024-08-03,[5]
216,2024-08-04,[5]
217,2024-08-05,[5]
218,2024-08-06,[5]
219,2024-08-07,[5]
220,2024-08-08,[5]
221,2024-08-09,[5]
222,2024-08-10,[5]
223,2024-08-11,[5]
224,2024-08-12,[5]
225,2024-08-13,[5]
226,2024-08-14,[5]
227,2024-08-15,[5]
228,2024-08-16,[5]
229,2024-08-17,[5]
230,2024-08-18,[5]
231,2024-08-19,[5]
232,2024-08-20,[5]
233,2024-08-21,[5]
234,2024-08-22,[5]
235,2024-08-23,[5]
236,2024-08-24,[5]
237,2024-08-25,[5]
238,2024-08-26,[5]
239,2024-08-27,[5]
240,2024-08-28,[5]
241,2024-08-29,[5]
242,2024-08-30,[5]
243,2024-08-31,[5]
244,2024-09-01,[5]
245,2024-09-02,[5]
246,2024-09-03,[5]
247,2024-09-04,[5]
248,2024-09-05,[5]
249,2024-09-06,[5]
250,2024-09-07,[5]
251,2024-09-08,[5]
252,2024-09-09,[5]
253,2024-09-10,[5]
254,2024-09-11,[5]
