account_rewards,date
11.562170410179533,2024-01-01
-2925.0476220702985,2024-01-02
1726.1760717773577,2024-01-03
-38.325146484421566,2024-01-04
-1373.8095190429594,2024-01-05
-1147.9435913085472,2024-01-06
7689.443703613244,2024-01-07
920.2243603515672,2024-01-08
21331.424775390653,2024-01-09
3725.7414648437407,2024-01-10
-10493.679101562477,2024-01-11
6231.278835449251,2024-01-12
-13592.13560791011,2024-01-13
5452.435791015625,2024-01-14
11423.995249023428,2024-01-15
-9517.361286621075,2024-01-16
-10454.883303222712,2024-01-17
4021.6823510741815,2024-01-18
-3807.685512695345,2024-01-19
-3159.9009692382533,2024-01-20
-30072.739814453176,2024-01-21
-15453.99205322261,2024-01-22
-1660.9884033203125,2024-01-23
-3826.710617675795,2024-01-24
12350.19838623039,2024-01-25
155.7606201171875,2024-01-26
-2905.5353051756974,2024-01-27
16736.95916259766,2024-01-28
7931.367932128836,2024-01-29
-18608.210561523447,2024-01-30
6574.059321289184,2024-01-31
1325.2430029296083,2024-02-01
-3982.999814453069,2024-02-02
-2230.304133300786,2024-02-03
3247.0752416992327,2024-02-04
26369.686892089783,2024-02-05
19047.266750488314,2024-02-06
-1482.9142089843517,2024-02-07
26343.36197021487,2024-02-08
5460.183437499916,2024-02-09
2575.3246313477866,2024-02-10
63203.99656005856,2024-02-11
-6690.87890625,2024-02-12
57001.1572265625,2024-02-13
19520.15625,2024-02-14
-8688.75,2024-02-15
-7147.8955078125,2024-02-16
38776.6845703125,2024-02-17
27122.197265625,2024-02-18
29370.1611328125,2024-02-19
-18122.2412109375,2024-02-20
273.779296875,2024-02-21
-20726.630859375,2024-02-22
29705.6689453125,2024-02-23
50530.7373046875,2024-02-24
27844.482421875,2024-02-25
27520.7666015625,2024-02-26
59297.51953125,2024-02-27
-18389.35546875,2024-02-28
39116.396484375,2024-02-29
-5461.7431640625,2024-03-01
28956.416015625,2024-03-02
58564.8779296875,2024-03-03
-31697.080078125,2024-03-04
110989.921875,2024-03-05
23150.9619140625,2024-03-06
7439.619140625,2024-03-07
9810.322265625,2024-03-08
-14374.8486328125,2024-03-09
77805.8203125,2024-03-10
-36192.1875,2024-03-11
10997.2119140625,2024-03-12
-51792.9931640625,2024-03-13
-62126.4697265625,2024-03-14
-89191.2451171875,2024-03-15
50212.2509765625,2024-03-16
-52259.7509765625,2024-03-17
-151354.1162109375,2024-03-18
149425.458984375,2024-03-19
-8568.779296875,2024-03-20
-66907.353515625,2024-03-21
1220.5224609375,2024-03-22
49577.841796875,2024-03-23
57223.8720703125,2024-03-24
-1419.140625,2024-03-25
-36703.65234375,2024-03-26
25695.05859375,2024-03-27
-20784.873046875,2024-03-28
-1621.962890625,2024-03-29
58763.0859375,2024-03-30
-59987.0947265625,2024-03-31
-95674.072265625,2024-04-01
14367.0556640625,2024-04-02
7811.42578125,2024-04-03
-4685.21484375,2024-04-04
14825.4052734375,2024-04-05
41710.5322265625,2024-04-06
101555.2001953125,2024-04-07
-79854.345703125,2024-04-08
16200.966796875,2024-04-09
-16165.48828125,2024-04-10
-110129.4140625,2024-04-11
-100016.4990234375,2024-04-12
63857.431640625,2024-04-13
-23243.4521484375,2024-04-14
-7005.673828125,2024-04-15
-42080.9033203125,2024-04-16
34146.0205078125,2024-04-17
-2834.58984375,2024-04-18
41306.42578125,2024-04-19
-4342.2216796875,2024-04-20
22832.6806640625,2024-04-21
7668.9990234375,2024-04-22
-33644.70703125,2024-04-23
7015.8251953125,2024-04-24
-11064.78515625,2024-04-25
51241.435546875,2024-04-26
4454.70703125,2024-04-27
-19885.1953125,2024-04-28
-85319.677734375,2024-04-29
-17850.9228515625,2024-04-30
7721.19140625,2024-05-01
48456.884765625,2024-05-02
5894.4580078125,2024-05-03
8262.4951171875,2024-05-04
-31298.5107421875,2024-05-05
-23583.6767578125,2024-05-06
-13826.3671875,2024-05-07
26192.578125,2024-05-08
-53016.2841796875,2024-05-09
760.5322265625,2024-05-10
7181.9384765625,2024-05-11
8676.240234375,2024-05-12
-28644.697265625,2024-05-13
65477.4462890625,2024-05-14
-38608.7255859375,2024-05-15
62574.7705078125,2024-05-16
12108.7353515625,2024-05-17
-21464.501953125,2024-05-18
248645.2294921875,2024-05-19
52692.0556640625,2024-05-20
-21879.8876953125,2024-05-21
16677.978515625,2024-05-22
-20996.923828125,2024-05-23
9366.8408203125,2024-05-24
32197.5732421875,2024-05-25
27765.9375,2024-05-26
-21735.205078125,2024-05-27
-32365.1220703125,2024-05-28
-6865.7080078125,2024-05-29
5534.3408203125,2024-05-30
22332.392578125,2024-05-31
-13567.2509765625,2024-06-01
-6092.87109375,2024-06-02
19373.2177734375,2024-06-03
21732.94921875,2024-06-04
-22115.1123046875,2024-06-05
-55850.2587890625,2024-06-06
974.736328125,2024-06-07
10480.6201171875,2024-06-08
-16458.2373046875,2024-06-09
-70722.5244140625,2024-06-10
25740.5859375,2024-06-11
-37941.298828125,2024-06-12
4616.103515625,2024-06-13
35816.5869140625,2024-06-14
23105.8447265625,2024-06-15
-45857.51953125,2024-06-16
-11632.9541015625,2024-06-17
31779.7265625,2024-06-18
-20269.4091796875,2024-06-19
2095.283203125,2024-06-20
-8930.126953125,2024-06-21
-32004.697265625,2024-06-22
-28709.296875,2024-06-23
18804.5361328125,2024-06-24
-10731.73828125,2024-06-25
31635.76171875,2024-06-26
-29889.111328125,2024-06-27
-280.6494140625,2024-06-28
25166.982421875,2024-06-29
3130.0048828125,2024-06-30
-10074.462890625,2024-07-01
-51843.955078125,2024-07-02
-100125.8056640625,2024-07-03
-30627.802734375,2024-07-04
36867.3046875,2024-07-05
-58796.103515625,2024-07-06
37524.78515625,2024-07-07
19026.4306640625,2024-07-08
16038.0322265625,2024-07-09
-792.9345703125,2024-07-10
14207.7099609375,2024-07-11
18076.81640625,2024-07-12
28089.755859375,2024-07-13
103098.92578125,2024-07-14
-19336.5087890625,2024-07-15
-22999.6142578125,2024-07-16
15752.5634765625,2024-07-17
33380.0537109375,2024-07-18
5695.4296875,2024-07-19
7270.224609375,2024-07-20
-40397.9296875,2024-07-21
17461.8896484375,2024-07-22
-61175.7275390625,2024-07-23
-68003.0859375,2024-07-24
42640.1513671875,2024-07-25
-11904.2724609375,2024-07-26
10019.8095703125,2024-07-27
20611.376953125,2024-07-28
-17586.064453125,2024-07-29
-19896.26953125,2024-07-30
-12487.1044921875,2024-07-31
-90531.533203125,2024-08-01
-34703.525390625,2024-08-02
-91134.462890625,2024-08-03
-113060.9033203125,2024-08-04
17437.3828125,2024-08-05
-51296.4990234375,2024-08-06
145640.6396484375,2024-08-07
-35176.7431640625,2024-08-08
4378.212890625,2024-08-09
-23843.7158203125,2024-08-10
71895.46875,2024-08-11
-8719.2041015625,2024-08-12
-17117.9736328125,2024-08-13
-38987.40234375,2024-08-14
9701.5283203125,2024-08-15
8971.34765625,2024-08-16
-499.6728515625,2024-08-17
10058.671875,2024-08-18
-26963.7744140625,2024-08-19
24481.201171875,2024-08-20
-3546.5185546875,2024-08-21
59428.154296875,2024-08-22
2075.9033203125,2024-08-23
-8497.412109375,2024-08-24
-28483.1982421875,2024-08-25
-93497.8857421875,2024-08-26
29269.365234375,2024-08-27
158.4228515625,2024-08-28
-1247.6953125,2024-08-29
-5219.853515625,2024-08-30
-35906.4111328125,2024-08-31
46319.6630859375,2024-09-01
-49385.068359375,2024-09-02
11916.7822265625,2024-09-03
-34120.5908203125,2024-09-04
-60421.6552734375,2024-09-05
21096.8994140625,2024-09-06
9738.0322265625,2024-09-07
25699.4677734375,2024-09-08
13061.5283203125,2024-09-09
-20890.5908203125,2024-09-10
9214.8779296875,2024-09-11
33526.6845703125,2024-09-12
-9664.8193359375,2024-09-13
-41033.3642578125,2024-09-14
-10757.6806640625,2024-09-15
19498.1103515625,2024-09-16
11768.9208984375,2024-09-17
39909.7412109375,2024-09-18
40454.326171875,2024-09-19
23009.765625,2024-09-20
-13857.744140625,2024-09-21
