account_value,date,daily_return
1000000.0,2024-01-01,
999999.9465089905,2024-01-02,-5.349100951068664e-08
999999.084594922,2024-01-03,-8.619141145249642e-07
999999.2481506217,2024-01-04,1.6355584930849432e-07
999998.7726672072,2024-01-05,-4.754837720222227e-07
999998.3682038981,2024-01-06,-4.044638055589189e-07
999997.3562576675,2024-01-07,-1.0119478818237937e-06
999999.1834799683,2024-01-08,1.8272271316011057e-06
999998.2744996351,2024-01-09,-9.089810754092653e-07
1000001.2708742875,2024-01-10,2.9963798227061744e-06
1000001.4754754889,2024-01-11,2.0460094152241481e-07
999997.9718968988,2024-01-12,-3.503573420715611e-06
999998.5396716535,2024-01-13,5.677759062905352e-07
999998.6840733183,2024-01-14,1.444018755680787e-07
999998.6344848848,2024-01-15,-4.958849875169591e-08
999998.6327758206,2024-01-16,-1.7090665549446271e-09
999997.3511813135,2024-01-17,-1.2815962592283014e-06
999994.614279073,2024-01-18,-2.736909490153039e-06
999993.2315744198,2024-01-19,-1.3827121001508402e-06
999994.9114329255,2024-01-20,1.6798698758702102e-06
999993.5029036951,2024-01-21,-1.4085363978511012e-06
999989.424493891,2024-01-22,-4.078436302124011e-06
999987.4438417804,2024-01-23,-1.980673057122573e-06
999987.4964070064,2024-01-24,5.256588608837376e-08
999986.4395437002,2024-01-25,-1.056876520966199e-06
999991.0801575667,2024-01-26,4.6406767961748585e-06
999990.5732995457,2024-01-27,-5.068625421600359e-07
999988.9031659032,2024-01-28,-1.6701493864568207e-06
999991.9768171943,2024-01-29,3.0736853993129643e-06
999984.8977837473,2024-01-30,-7.079090243777841e-06
999982.6411768758,2024-01-31,-2.256640951769917e-06
999983.4626038766,2024-02-01,8.214412601237342e-07
999984.914492613,2024-02-02,1.4519127473633375e-06
999987.7233118522,2024-02-03,2.8088616121912935e-06
999982.3967664039,2024-02-04,-5.326610841405177e-06
999983.4263449877,2024-02-05,1.0295967081130897e-06
999983.0285213172,2024-02-06,-3.978302640650355e-07
999986.2187889629,2024-02-07,3.1903217903028747e-06
999986.4948479056,2024-02-08,2.7606274710656464e-07
999990.9754933452,2024-02-09,4.480705952270014e-06
999990.2026205778,2024-02-10,-7.728797423167677e-07
999991.0059075236,2024-02-11,8.03294815998612e-07
999993.4421077698,2024-02-12,2.436222157786716e-06
999990.4001210951,2024-02-13,-3.0420066238212584e-06
