,date,actions
0,2024-01-01,[10]
1,2024-01-02,[10]
2,2024-01-03,[10]
3,2024-01-04,[10]
4,2024-01-05,[10]
5,2024-01-06,[10]
6,2024-01-07,[10]
7,2024-01-08,[10]
8,2024-01-09,[10]
9,2024-01-10,[10]
10,2024-01-11,[10]
11,2024-01-12,[10]
12,2024-01-13,[10]
13,2024-01-14,[10]
14,2024-01-15,[10]
15,2024-01-16,[10]
16,2024-01-17,[10]
17,2024-01-18,[10]
18,2024-01-19,[10]
19,2024-01-20,[10]
20,2024-01-21,[10]
21,2024-01-22,[10]
22,2024-01-23,[10]
23,2024-01-24,[10]
24,2024-01-25,[10]
25,2024-01-26,[10]
26,2024-01-27,[10]
27,2024-01-28,[10]
28,2024-01-29,[10]
29,2024-01-30,[10]
30,2024-01-31,[10]
31,2024-02-01,[10]
32,2024-02-02,[10]
33,2024-02-03,[10]
34,2024-02-04,[10]
35,2024-02-05,[10]
36,2024-02-06,[10]
37,2024-02-07,[10]
38,2024-02-08,[10]
39,2024-02-09,[10]
40,2024-02-10,[10]
41,2024-02-11,[10]
42,2024-02-12,[10]
43,2024-02-13,[10]
44,2024-02-14,[10]
45,2024-02-15,[10]
46,2024-02-16,[10]
47,2024-02-17,[10]
48,2024-02-18,[10]
49,2024-02-19,[10]
50,2024-02-20,[10]
51,2024-02-21,[10]
52,2024-02-22,[10]
53,2024-02-23,[10]
54,2024-02-24,[10]
55,2024-02-25,[10]
56,2024-02-26,[10]
57,2024-02-27,[10]
58,2024-02-28,[10]
59,2024-02-29,[10]
60,2024-03-01,[10]
61,2024-03-02,[10]
62,2024-03-03,[10]
63,2024-03-04,[10]
64,2024-03-05,[10]
65,2024-03-06,[10]
66,2024-03-07,[10]
67,2024-03-08,[10]
68,2024-03-09,[10]
69,2024-03-10,[10]
70,2024-03-11,[10]
71,2024-03-12,[10]
72,2024-03-13,[10]
73,2024-03-14,[10]
74,2024-03-15,[10]
75,2024-03-16,[10]
76,2024-03-17,[10]
77,2024-03-18,[10]
78,2024-03-19,[10]
79,2024-03-20,[10]
80,2024-03-21,[10]
81,2024-03-22,[10]
82,2024-03-23,[10]
83,2024-03-24,[10]
84,2024-03-25,[10]
85,2024-03-26,[10]
86,2024-03-27,[10]
87,2024-03-28,[10]
88,2024-03-29,[10]
89,2024-03-30,[10]
90,2024-03-31,[10]
91,2024-04-01,[10]
92,2024-04-02,[10]
93,2024-04-03,[10]
94,2024-04-04,[10]
95,2024-04-05,[10]
96,2024-04-06,[10]
97,2024-04-07,[10]
98,2024-04-08,[10]
99,2024-04-09,[10]
100,2024-04-10,[10]
101,2024-04-11,[10]
102,2024-04-12,[10]
103,2024-04-13,[10]
104,2024-04-14,[10]
105,2024-04-15,[10]
106,2024-04-16,[10]
107,2024-04-17,[10]
108,2024-04-18,[10]
109,2024-04-19,[10]
110,2024-04-20,[10]
111,2024-04-21,[10]
112,2024-04-22,[10]
113,2024-04-23,[10]
114,2024-04-24,[10]
115,2024-04-25,[10]
116,2024-04-26,[10]
117,2024-04-27,[10]
118,2024-04-28,[10]
119,2024-04-29,[10]
120,2024-04-30,[10]
121,2024-05-01,[10]
122,2024-05-02,[10]
123,2024-05-03,[10]
124,2024-05-04,[10]
125,2024-05-05,[10]
126,2024-05-06,[10]
127,2024-05-07,[10]
128,2024-05-08,[10]
129,2024-05-09,[10]
130,2024-05-10,[10]
131,2024-05-11,[10]
132,2024-05-12,[10]
133,2024-05-13,[10]
134,2024-05-14,[10]
135,2024-05-15,[10]
136,2024-05-16,[10]
137,2024-05-17,[10]
138,2024-05-18,[10]
139,2024-05-19,[10]
140,2024-05-20,[10]
141,2024-05-21,[10]
142,2024-05-22,[10]
143,2024-05-23,[10]
144,2024-05-24,[10]
145,2024-05-25,[10]
146,2024-05-26,[10]
147,2024-05-27,[10]
148,2024-05-28,[10]
149,2024-05-29,[10]
150,2024-05-30,[10]
151,2024-05-31,[10]
152,2024-06-01,[10]
153,2024-06-02,[10]
154,2024-06-03,[10]
155,2024-06-04,[10]
156,2024-06-05,[10]
157,2024-06-06,[10]
158,2024-06-07,[10]
159,2024-06-08,[10]
160,2024-06-09,[10]
161,2024-06-10,[10]
162,2024-06-11,[10]
163,2024-06-12,[10]
164,2024-06-13,[10]
165,2024-06-14,[10]
166,2024-06-15,[10]
167,2024-06-16,[10]
168,2024-06-17,[10]
169,2024-06-18,[10]
170,2024-06-19,[10]
171,2024-06-20,[10]
172,2024-06-21,[10]
173,2024-06-22,[10]
174,2024-06-23,[10]
175,2024-06-24,[10]
176,2024-06-25,[10]
177,2024-06-26,[10]
178,2024-06-27,[10]
179,2024-06-28,[10]
