,date,actions
0,2014-09-17,[0]
1,2014-09-18,[0]
2,2014-09-19,[0]
3,2014-09-20,[0]
4,2014-09-21,[0]
5,2014-09-22,[0]
6,2014-09-23,[0]
7,2014-09-24,[0]
8,2014-09-25,[0]
9,2014-09-26,[0]
10,2014-09-27,[0]
11,2014-09-28,[0]
12,2014-09-29,[0]
13,2014-09-30,[0]
14,2014-10-01,[0]
15,2014-10-02,[0]
16,2014-10-03,[0]
17,2014-10-04,[0]
18,2014-10-05,[0]
19,2014-10-06,[0]
20,2014-10-07,[0]
21,2014-10-08,[0]
22,2014-10-09,[0]
23,2014-10-10,[0]
24,2014-10-11,[0]
25,2014-10-12,[0]
26,2014-10-13,[0]
27,2014-10-14,[0]
28,2014-10-15,[0]
29,2014-10-16,[0]
30,2014-10-17,[0]
31,2014-10-18,[0]
32,2014-10-19,[0]
33,2014-10-20,[0]
34,2014-10-21,[0]
35,2014-10-22,[0]
36,2014-10-23,[0]
37,2014-10-24,[0]
38,2014-10-25,[0]
39,2014-10-26,[0]
40,2014-10-27,[0]
41,2014-10-28,[0]
42,2014-10-29,[0]
43,2014-10-30,[0]
44,2014-10-31,[0]
45,2014-11-01,[0]
46,2014-11-02,[0]
47,2014-11-03,[0]
48,2014-11-04,[0]
49,2014-11-05,[0]
50,2014-11-06,[0]
51,2014-11-07,[0]
52,2014-11-08,[0]
53,2014-11-09,[0]
54,2014-11-10,[0]
55,2014-11-11,[0]
56,2014-11-12,[0]
57,2014-11-13,[0]
58,2014-11-14,[0]
59,2014-11-15,[0]
60,2014-11-16,[0]
61,2014-11-17,[0]
62,2014-11-18,[0]
63,2014-11-19,[0]
64,2014-11-20,[0]
65,2014-11-21,[0]
66,2014-11-22,[0]
67,2014-11-23,[0]
68,2014-11-24,[0]
69,2014-11-25,[0]
70,2014-11-26,[0]
71,2014-11-27,[0]
72,2014-11-28,[0]
73,2014-11-29,[0]
74,2014-11-30,[0]
75,2014-12-01,[0]
76,2014-12-02,[0]
77,2014-12-03,[0]
78,2014-12-04,[0]
79,2014-12-05,[0]
80,2014-12-06,[0]
81,2014-12-07,[0]
82,2014-12-08,[0]
83,2014-12-09,[0]
84,2014-12-10,[0]
85,2014-12-11,[0]
86,2014-12-12,[0]
87,2014-12-13,[0]
88,2014-12-14,[0]
89,2014-12-15,[0]
90,2014-12-16,[0]
91,2014-12-17,[0]
92,2014-12-18,[0]
93,2014-12-19,[0]
94,2014-12-20,[0]
95,2014-12-21,[0]
96,2014-12-22,[0]
97,2014-12-23,[0]
98,2014-12-24,[0]
99,2014-12-25,[0]
100,2014-12-26,[0]
101,2014-12-27,[0]
102,2014-12-28,[0]
103,2014-12-29,[0]
104,2014-12-30,[0]
105,2014-12-31,[0]
106,2015-01-01,[0]
107,2015-01-02,[0]
108,2015-01-03,[0]
109,2015-01-04,[0]
110,2015-01-05,[0]
111,2015-01-06,[0]
112,2015-01-07,[0]
113,2015-01-08,[0]
114,2015-01-09,[0]
115,2015-01-10,[0]
116,2015-01-11,[0]
117,2015-01-12,[0]
118,2015-01-13,[0]
119,2015-01-14,[0]
120,2015-01-15,[0]
121,2015-01-16,[0]
122,2015-01-17,[0]
123,2015-01-18,[0]
124,2015-01-19,[0]
125,2015-01-20,[0]
126,2015-01-21,[0]
127,2015-01-22,[0]
128,2015-01-23,[0]
129,2015-01-24,[0]
130,2015-01-25,[0]
131,2015-01-26,[0]
132,2015-01-27,[0]
133,2015-01-28,[0]
134,2015-01-29,[0]
135,2015-01-30,[0]
136,2015-01-31,[0]
137,2015-02-01,[0]
138,2015-02-02,[0]
139,2015-02-03,[0]
140,2015-02-04,[0]
141,2015-02-05,[0]
142,2015-02-06,[0]
143,2015-02-07,[0]
144,2015-02-08,[0]
145,2015-02-09,[0]
146,2015-02-10,[0]
147,2015-02-11,[0]
148,2015-02-12,[0]
149,2015-02-13,[0]
150,2015-02-14,[0]
151,2015-02-15,[0]
152,2015-02-16,[0]
153,2015-02-17,[0]
154,2015-02-18,[0]
155,2015-02-19,[0]
156,2015-02-20,[0]
157,2015-02-21,[0]
158,2015-02-22,[0]
159,2015-02-23,[0]
160,2015-02-24,[0]
161,2015-02-25,[0]
162,2015-02-26,[0]
163,2015-02-27,[0]
164,2015-02-28,[0]
165,2015-03-01,[0]
166,2015-03-02,[0]
167,2015-03-03,[0]
168,2015-03-04,[0]
169,2015-03-05,[0]
170,2015-03-06,[0]
171,2015-03-07,[0]
172,2015-03-08,[0]
173,2015-03-09,[0]
174,2015-03-10,[0]
175,2015-03-11,[0]
176,2015-03-12,[0]
177,2015-03-13,[0]
178,2015-03-14,[0]
179,2015-03-15,[0]
180,2015-03-16,[0]
181,2015-03-17,[0]
182,2015-03-18,[0]
183,2015-03-19,[0]
184,2015-03-20,[0]
185,2015-03-21,[0]
186,2015-03-22,[0]
187,2015-03-23,[0]
188,2015-03-24,[0]
189,2015-03-25,[0]
190,2015-03-26,[0]
191,2015-03-27,[0]
192,2015-03-28,[0]
193,2015-03-29,[0]
194,2015-03-30,[0]
195,2015-03-31,[0]
196,2015-04-01,[0]
197,2015-04-02,[0]
198,2015-04-03,[0]
199,2015-04-04,[0]
200,2015-04-05,[0]
201,2015-04-06,[0]
202,2015-04-07,[0]
203,2015-04-08,[0]
204,2015-04-09,[0]
205,2015-04-10,[0]
206,2015-04-11,[0]
207,2015-04-12,[0]
208,2015-04-13,[0]
209,2015-04-14,[0]
210,2015-04-15,[0]
211,2015-04-16,[0]
212,2015-04-17,[0]
213,2015-04-18,[0]
214,2015-04-19,[0]
215,2015-04-20,[0]
216,2015-04-21,[0]
217,2015-04-22,[0]
218,2015-04-23,[0]
219,2015-04-24,[0]
220,2015-04-25,[0]
221,2015-04-26,[0]
222,2015-04-27,[0]
223,2015-04-28,[0]
224,2015-04-29,[0]
225,2015-04-30,[0]
226,2015-05-01,[0]
227,2015-05-02,[0]
228,2015-05-03,[0]
229,2015-05-04,[0]
230,2015-05-05,[0]
231,2015-05-06,[0]
232,2015-05-07,[0]
233,2015-05-08,[0]
234,2015-05-09,[0]
235,2015-05-10,[0]
236,2015-05-11,[0]
237,2015-05-12,[0]
238,2015-05-13,[0]
239,2015-05-14,[0]
240,2015-05-15,[0]
241,2015-05-16,[0]
242,2015-05-17,[0]
243,2015-05-18,[0]
244,2015-05-19,[0]
245,2015-05-20,[0]
246,2015-05-21,[0]
247,2015-05-22,[0]
248,2015-05-23,[0]
249,2015-05-24,[0]
250,2015-05-25,[0]
251,2015-05-26,[0]
252,2015-05-27,[0]
253,2015-05-28,[0]
254,2015-05-29,[0]
255,2015-05-30,[0]
256,2015-05-31,[0]
257,2015-06-01,[0]
258,2015-06-02,[0]
259,2015-06-03,[0]
260,2015-06-04,[0]
261,2015-06-05,[0]
262,2015-06-06,[0]
263,2015-06-07,[0]
264,2015-06-08,[0]
265,2015-06-09,[0]
266,2015-06-10,[0]
267,2015-06-11,[0]
268,2015-06-12,[0]
269,2015-06-13,[0]
270,2015-06-14,[0]
271,2015-06-15,[0]
272,2015-06-16,[0]
273,2015-06-17,[0]
274,2015-06-18,[0]
275,2015-06-19,[0]
276,2015-06-20,[0]
277,2015-06-21,[0]
278,2015-06-22,[0]
279,2015-06-23,[0]
280,2015-06-24,[0]
281,2015-06-25,[0]
282,2015-06-26,[0]
283,2015-06-27,[0]
284,2015-06-28,[0]
285,2015-06-29,[0]
286,2015-06-30,[0]
287,2015-07-01,[0]
288,2015-07-02,[0]
289,2015-07-03,[0]
290,2015-07-04,[0]
291,2015-07-05,[0]
292,2015-07-06,[0]
293,2015-07-07,[0]
294,2015-07-08,[0]
295,2015-07-09,[0]
296,2015-07-10,[0]
297,2015-07-11,[0]
298,2015-07-12,[0]
299,2015-07-13,[0]
300,2015-07-14,[0]
301,2015-07-15,[0]
302,2015-07-16,[0]
303,2015-07-17,[0]
304,2015-07-18,[0]
305,2015-07-19,[0]
306,2015-07-20,[0]
307,2015-07-21,[0]
308,2015-07-22,[0]
309,2015-07-23,[0]
310,2015-07-24,[0]
311,2015-07-25,[0]
312,2015-07-26,[0]
313,2015-07-27,[0]
314,2015-07-28,[0]
315,2015-07-29,[0]
316,2015-07-30,[0]
317,2015-07-31,[0]
318,2015-08-01,[0]
319,2015-08-02,[0]
320,2015-08-03,[0]
321,2015-08-04,[0]
322,2015-08-05,[0]
323,2015-08-06,[0]
324,2015-08-07,[0]
325,2015-08-08,[0]
326,2015-08-09,[0]
327,2015-08-10,[0]
328,2015-08-11,[0]
329,2015-08-12,[0]
330,2015-08-13,[0]
331,2015-08-14,[0]
332,2015-08-15,[0]
333,2015-08-16,[0]
334,2015-08-17,[0]
335,2015-08-18,[0]
336,2015-08-19,[0]
337,2015-08-20,[0]
338,2015-08-21,[0]
339,2015-08-22,[0]
340,2015-08-23,[0]
341,2015-08-24,[0]
342,2015-08-25,[0]
343,2015-08-26,[0]
344,2015-08-27,[0]
345,2015-08-28,[0]
346,2015-08-29,[0]
347,2015-08-30,[0]
348,2015-08-31,[0]
349,2015-09-01,[0]
350,2015-09-02,[0]
351,2015-09-03,[0]
352,2015-09-04,[0]
353,2015-09-05,[0]
354,2015-09-06,[0]
355,2015-09-07,[0]
356,2015-09-08,[0]
357,2015-09-09,[0]
358,2015-09-10,[0]
359,2015-09-11,[0]
360,2015-09-12,[0]
361,2015-09-13,[0]
362,2015-09-14,[0]
363,2015-09-15,[0]
364,2015-09-16,[0]
365,2015-09-17,[0]
366,2015-09-18,[0]
367,2015-09-19,[0]
368,2015-09-20,[0]
369,2015-09-21,[0]
370,2015-09-22,[0]
371,2015-09-23,[0]
372,2015-09-24,[0]
373,2015-09-25,[0]
374,2015-09-26,[0]
375,2015-09-27,[0]
376,2015-09-28,[0]
377,2015-09-29,[0]
378,2015-09-30,[0]
379,2015-10-01,[0]
380,2015-10-02,[0]
381,2015-10-03,[0]
382,2015-10-04,[0]
383,2015-10-05,[0]
384,2015-10-06,[0]
385,2015-10-07,[0]
386,2015-10-08,[0]
387,2015-10-09,[0]
388,2015-10-10,[0]
389,2015-10-11,[0]
390,2015-10-12,[0]
391,2015-10-13,[0]
392,2015-10-14,[0]
393,2015-10-15,[0]
394,2015-10-16,[0]
395,2015-10-17,[0]
396,2015-10-18,[0]
397,2015-10-19,[0]
398,2015-10-20,[0]
399,2015-10-21,[0]
400,2015-10-22,[0]
401,2015-10-23,[0]
402,2015-10-24,[0]
403,2015-10-25,[0]
404,2015-10-26,[0]
405,2015-10-27,[0]
406,2015-10-28,[0]
407,2015-10-29,[0]
408,2015-10-30,[0]
409,2015-10-31,[0]
410,2015-11-01,[0]
411,2015-11-02,[0]
412,2015-11-03,[0]
413,2015-11-04,[0]
414,2015-11-05,[0]
415,2015-11-06,[0]
416,2015-11-07,[0]
417,2015-11-08,[0]
418,2015-11-09,[0]
419,2015-11-10,[0]
420,2015-11-11,[0]
421,2015-11-12,[0]
422,2015-11-13,[0]
423,2015-11-14,[0]
424,2015-11-15,[0]
425,2015-11-16,[0]
426,2015-11-17,[0]
427,2015-11-18,[0]
428,2015-11-19,[0]
429,2015-11-20,[0]
430,2015-11-21,[0]
431,2015-11-22,[0]
432,2015-11-23,[0]
433,2015-11-24,[0]
434,2015-11-25,[0]
435,2015-11-26,[0]
436,2015-11-27,[0]
437,2015-11-28,[0]
438,2015-11-29,[0]
439,2015-11-30,[0]
440,2015-12-01,[0]
441,2015-12-02,[0]
442,2015-12-03,[0]
443,2015-12-04,[0]
444,2015-12-05,[0]
445,2015-12-06,[0]
446,2015-12-07,[0]
447,2015-12-08,[0]
448,2015-12-09,[0]
449,2015-12-10,[0]
450,2015-12-11,[0]
451,2015-12-12,[0]
452,2015-12-13,[0]
453,2015-12-14,[0]
454,2015-12-15,[0]
455,2015-12-16,[0]
456,2015-12-17,[0]
457,2015-12-18,[0]
458,2015-12-19,[0]
459,2015-12-20,[0]
460,2015-12-21,[0]
461,2015-12-22,[0]
462,2015-12-23,[0]
463,2015-12-24,[0]
464,2015-12-25,[0]
465,2015-12-26,[0]
466,2015-12-27,[0]
467,2015-12-28,[0]
468,2015-12-29,[0]
469,2015-12-30,[0]
470,2015-12-31,[0]
471,2016-01-01,[0]
472,2016-01-02,[0]
473,2016-01-03,[0]
474,2016-01-04,[0]
475,2016-01-05,[0]
476,2016-01-06,[0]
477,2016-01-07,[0]
478,2016-01-08,[0]
479,2016-01-09,[0]
480,2016-01-10,[0]
481,2016-01-11,[0]
482,2016-01-12,[0]
483,2016-01-13,[0]
484,2016-01-14,[0]
485,2016-01-15,[0]
486,2016-01-16,[0]
487,2016-01-17,[0]
488,2016-01-18,[0]
489,2016-01-19,[0]
490,2016-01-20,[0]
491,2016-01-21,[0]
492,2016-01-22,[0]
493,2016-01-23,[0]
494,2016-01-24,[0]
495,2016-01-25,[0]
496,2016-01-26,[0]
497,2016-01-27,[0]
498,2016-01-28,[0]
499,2016-01-29,[0]
500,2016-01-30,[0]
501,2016-01-31,[0]
502,2016-02-01,[0]
503,2016-02-02,[0]
504,2016-02-03,[0]
505,2016-02-04,[0]
506,2016-02-05,[0]
507,2016-02-06,[0]
508,2016-02-07,[0]
509,2016-02-08,[0]
510,2016-02-09,[0]
511,2016-02-10,[0]
512,2016-02-11,[0]
513,2016-02-12,[0]
514,2016-02-13,[0]
515,2016-02-14,[0]
516,2016-02-15,[0]
517,2016-02-16,[0]
518,2016-02-17,[0]
519,2016-02-18,[0]
520,2016-02-19,[0]
521,2016-02-20,[0]
522,2016-02-21,[0]
523,2016-02-22,[0]
524,2016-02-23,[0]
525,2016-02-24,[0]
526,2016-02-25,[0]
527,2016-02-26,[0]
528,2016-02-27,[0]
529,2016-02-28,[0]
530,2016-02-29,[0]
531,2016-03-01,[0]
532,2016-03-02,[0]
533,2016-03-03,[0]
534,2016-03-04,[0]
535,2016-03-05,[0]
536,2016-03-06,[0]
537,2016-03-07,[0]
538,2016-03-08,[0]
539,2016-03-09,[0]
540,2016-03-10,[0]
541,2016-03-11,[0]
542,2016-03-12,[0]
543,2016-03-13,[0]
544,2016-03-14,[0]
545,2016-03-15,[0]
546,2016-03-16,[0]
547,2016-03-17,[0]
548,2016-03-18,[0]
549,2016-03-19,[0]
550,2016-03-20,[0]
551,2016-03-21,[0]
552,2016-03-22,[0]
553,2016-03-23,[0]
554,2016-03-24,[0]
555,2016-03-25,[0]
556,2016-03-26,[0]
557,2016-03-27,[0]
558,2016-03-28,[0]
559,2016-03-29,[0]
560,2016-03-30,[0]
561,2016-03-31,[0]
562,2016-04-01,[0]
563,2016-04-02,[0]
564,2016-04-03,[0]
565,2016-04-04,[0]
566,2016-04-05,[0]
567,2016-04-06,[0]
568,2016-04-07,[0]
569,2016-04-08,[0]
570,2016-04-09,[0]
571,2016-04-10,[0]
572,2016-04-11,[0]
573,2016-04-12,[0]
574,2016-04-13,[0]
575,2016-04-14,[0]
576,2016-04-15,[0]
577,2016-04-16,[0]
578,2016-04-17,[0]
579,2016-04-18,[0]
580,2016-04-19,[0]
581,2016-04-20,[0]
582,2016-04-21,[0]
583,2016-04-22,[0]
584,2016-04-23,[0]
585,2016-04-24,[0]
586,2016-04-25,[0]
587,2016-04-26,[0]
588,2016-04-27,[0]
589,2016-04-28,[0]
590,2016-04-29,[0]
591,2016-04-30,[0]
592,2016-05-01,[0]
593,2016-05-02,[0]
